ID,Project Title,Requirements,Domain,Complexity Level,Description
80,Personalized News Aggregator,Python,News and Media,Advanced,"The system collects news from HTML and RSS Web documents, organizes them according to pre-defined news categories and constructs personalized views via a Web-based interface."
80,Personalized News Aggregator,MySQL,News and Media,Advanced,"The system collects news from HTML and RSS Web documents, organizes them according to pre-defined news categories and constructs personalized views via a Web-based interface."
80,Personalized News Aggregator,MongoDB,News and Media,Advanced,"The system collects news from HTML and RSS Web documents, organizes them according to pre-defined news categories and constructs personalized views via a Web-based interface."
80,Personalized News Aggregator,REST API,News and Media,Advanced,"The system collects news from HTML and RSS Web documents, organizes them according to pre-defined news categories and constructs personalized views via a Web-based interface."
81,Online Dating Platform,HTML,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
81,Online Dating Platform,CSS,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
81,Online Dating Platform,JavaScript,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
81,Online Dating Platform,PHP,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
81,Online Dating Platform,Python,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
81,Online Dating Platform,MySQL,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
81,Online Dating Platform,MongoDB,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
81,Online Dating Platform,REST API,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
81,Online Dating Platform,Payment Gateway Integration,Social Networking,Advanced,"find, talk to & plan to meet your soulmate online"
82,Online Marketplace for Handmade Crafts,HTML,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
82,Online Marketplace for Handmade Crafts,CSS,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
82,Online Marketplace for Handmade Crafts,JavaScript,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
82,Online Marketplace for Handmade Crafts,PHP,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
82,Online Marketplace for Handmade Crafts,Python,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
82,Online Marketplace for Handmade Crafts,MySQL,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
82,Online Marketplace for Handmade Crafts,MongoDB,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
82,Online Marketplace for Handmade Crafts,REST API,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
82,Online Marketplace for Handmade Crafts,Payment Gateway Integration,Art and Design,,"compare between the shapes, quality & prices, then buy your favorite Handmade Crafts online"
83,Social Network Analysis and Visualization,Python,Data Analysis,Intermediate,understand society and its structures by importing data (usually from social media platforms) into a visualization software
83,Social Network Analysis and Visualization,NetworkX,Data Analysis,Intermediate,understand society and its structures by importing data (usually from social media platforms) into a visualization software
83,Social Network Analysis and Visualization,Gephi,Data Analysis,Intermediate,understand society and its structures by importing data (usually from social media platforms) into a visualization software
83,Social Network Analysis and Visualization,Data Visualization Libraries,Data Analysis,Intermediate,understand society and its structures by importing data (usually from social media platforms) into a visualization software
84,Online Auction Website Development,HTML,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
84,Online Auction Website Development,CSS,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
84,Online Auction Website Development,JavaScript,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
84,Online Auction Website Development,PHP,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
84,Online Auction Website Development,Python,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
84,Online Auction Website Development,MySQL,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
84,Online Auction Website Development,MongoDB,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
84,Online Auction Website Development,REST API,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
84,Online Auction Website Development,Payment Gateway Integration,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
85,Online Grocery Delivery Platform Development,HTML,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
85,Online Grocery Delivery Platform Development,CSS,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
85,Online Grocery Delivery Platform Development,JavaScript,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
85,Online Grocery Delivery Platform Development,PHP,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
85,Online Grocery Delivery Platform Development,Python,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
85,Online Grocery Delivery Platform Development,MySQL,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
85,Online Grocery Delivery Platform Development,MongoDB,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
85,Online Grocery Delivery Platform Development,REST API,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
85,Online Grocery Delivery Platform Development,Payment Gateway Integration,Food and Beverage,Advanced,directly buy fresh food staffs or produce from a seller over the internet
87,Online Marketplace for Freelancers,HTML,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
87,Online Marketplace for Freelancers,CSS,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
87,Online Marketplace for Freelancers,JavaScript,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
87,Online Marketplace for Freelancers,PHP,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
87,Online Marketplace for Freelancers,Python,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
87,Online Marketplace for Freelancers,MySQL,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
87,Online Marketplace for Freelancers,MongoDB,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
87,Online Marketplace for Freelancers,REST API,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
87,Online Marketplace for Freelancers,Payment Gateway Integration,Freelancing,Advanced,online platforms for companies to meet and engage with freelancers who are looking to offer their services. 
88,Movie Recommendation Engine,Python,Entertainment,Advanced,a Machine Learning-based approach to filtering or predicting the users' film preferences based on their past choices and behavior.
88,Movie Recommendation Engine,Machine Learning Libraries,Entertainment,Advanced,a Machine Learning-based approach to filtering or predicting the users' film preferences based on their past choices and behavior.
88,Movie Recommendation Engine,Flask Framework,Entertainment,Advanced,a Machine Learning-based approach to filtering or predicting the users' film preferences based on their past choices and behavior.
89,Online Language Learning Platform,HTML,Education,Advanced,learn your preferred language according to your preferred level & learning rate
89,Online Language Learning Platform,CSS,Education,Advanced,learn your preferred language according to your preferred level & learning rate
89,Online Language Learning Platform,JavaScript,Education,Advanced,learn your preferred language according to your preferred level & learning rate
89,Online Language Learning Platform,PHP,Education,Advanced,learn your preferred language according to your preferred level & learning rate
89,Online Language Learning Platform,Python,Education,Advanced,learn your preferred language according to your preferred level & learning rate
89,Online Language Learning Platform,MySQL,Education,Advanced,learn your preferred language according to your preferred level & learning rate
89,Online Language Learning Platform,MongoDB,Education,Advanced,learn your preferred language according to your preferred level & learning rate
89,Online Language Learning Platform,REST API,Education,Advanced,learn your preferred language according to your preferred level & learning rate
90,Online Course Booking System,HTML,Education,Intermediate,find your preferred course with suitable billing option
90,Online Course Booking System,CSS,Education,Intermediate,find your preferred course with suitable billing option
90,Online Course Booking System,JavaScript,Education,Intermediate,find your preferred course with suitable billing option
90,Online Course Booking System,PHP,Education,Intermediate,find your preferred course with suitable billing option
90,Online Course Booking System,Python,Education,Intermediate,find your preferred course with suitable billing option
90,Online Course Booking System,MySQL,Education,Intermediate,find your preferred course with suitable billing option
90,Online Course Booking System,MongoDB,Education,Intermediate,find your preferred course with suitable billing option
90,Online Course Booking System,REST API,Education,Intermediate,find your preferred course with suitable billing option
92,Online Art Portfolio and Showcase,HTML,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,CSS,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,JavaScript,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,PHP,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,or,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,Python,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,MySQL,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,or,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,MongoDB,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,REST,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
92,Online Art Portfolio and Showcase,API,Art and Design,Intermediate,"an online representation of work you have created, as well as your skills and experiences"
93,E-learning Management System,HTML,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
93,E-learning Management System,CSS,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
93,E-learning Management System,JavaScript,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
93,E-learning Management System,PHP,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
93,E-learning Management System,Python,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
93,E-learning Management System,MySQL,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
93,E-learning Management System,PostgreSQL,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
93,E-learning Management System,LMS Framework,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
93,E-learning Management System,REST API,Education,Advanced,"a software that is designed specifically to create, distribute, and manage the delivery of educational content"
94,Online Bookstore Website Development,HTML,E-commerce,Advanced,see summaries & buy books according to your preferences
94,Online Bookstore Website Development,CSS,E-commerce,Advanced,see summaries & buy books according to your preferences
94,Online Bookstore Website Development,JavaScript,E-commerce,Advanced,see summaries & buy books according to your preferences
94,Online Bookstore Website Development,PHP,E-commerce,Advanced,see summaries & buy books according to your preferences
94,Online Bookstore Website Development,Python,E-commerce,Advanced,see summaries & buy books according to your preferences
94,Online Bookstore Website Development,MySQL,E-commerce,Advanced,see summaries & buy books according to your preferences
94,Online Bookstore Website Development,MongoDB,E-commerce,Advanced,see summaries & buy books according to your preferences
94,Online Bookstore Website Development,REST API,E-commerce,Advanced,see summaries & buy books according to your preferences
94,Online Bookstore Website Development,Payment Gateway Integration,E-commerce,Advanced,see summaries & buy books according to your preferences
95,Online Donation Platform Development,HTML,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
95,Online Donation Platform Development,CSS,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
95,Online Donation Platform Development,JavaScript,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
95,Online Donation Platform Development,PHP,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
95,Online Donation Platform Development,Python,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
95,Online Donation Platform Development,MySQL,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
95,Online Donation Platform Development,MongoDB,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
95,Online Donation Platform Development,REST API,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
95,Online Donation Platform Development,Payment Gateway Integration,Non-profit,Advanced,a website that allows nonprofits to accept and process online donations
97,Mental Health Chatbot Development,Python,Healthcare,Advanced,a type of Artificial Intelligence (AI) that are designed to help you with your mental health.
97,Mental Health Chatbot Development,Natural Language Processing Libraries,Healthcare,Advanced,a type of Artificial Intelligence (AI) that are designed to help you with your mental health.
97,Mental Health Chatbot Development,Flask Framework,Healthcare,Advanced,a type of Artificial Intelligence (AI) that are designed to help you with your mental health.
99,Music Streaming Platform Development,HTML,Entertainment,Advanced,"a type of streaming media service that focuses primarily on music, and sometimes other forms of digital audio content such as podcasts"
99,Music Streaming Platform Development,CSS,Entertainment,Advanced,"a type of streaming media service that focuses primarily on music, and sometimes other forms of digital audio content such as podcasts"
99,Music Streaming Platform Development,JavaScript,Entertainment,Advanced,"a type of streaming media service that focuses primarily on music, and sometimes other forms of digital audio content such as podcasts"
99,Music Streaming Platform Development,PHP,Entertainment,Advanced,"a type of streaming media service that focuses primarily on music, and sometimes other forms of digital audio content such as podcasts"
99,Music Streaming Platform Development,Python,Entertainment,Advanced,"a type of streaming media service that focuses primarily on music, and sometimes other forms of digital audio content such as podcasts"
99,Music Streaming Platform Development,MySQL,Entertainment,Advanced,"a type of streaming media service that focuses primarily on music, and sometimes other forms of digital audio content such as podcasts"
99,Music Streaming Platform Development,MongoDB,Entertainment,Advanced,"a type of streaming media service that focuses primarily on music, and sometimes other forms of digital audio content such as podcasts"
99,Music Streaming Platform Development,REST API,Entertainment,Advanced,"a type of streaming media service that focuses primarily on music, and sometimes other forms of digital audio content such as podcasts"
100,Cryptocurrency Exchange Platform Development,HTML,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
100,Cryptocurrency Exchange Platform Development,CSS,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
100,Cryptocurrency Exchange Platform Development,JavaScript,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
100,Cryptocurrency Exchange Platform Development,PHP,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
100,Cryptocurrency Exchange Platform Development,Python,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
100,Cryptocurrency Exchange Platform Development,MySQL,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
100,Cryptocurrency Exchange Platform Development,MongoDB,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
100,Cryptocurrency Exchange Platform Development,REST API,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
100,Cryptocurrency Exchange Platform Development,Payment Gateway Integration,Finance,Advanced,"a business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies"
101,Online Job Portal Development,HTML,Recruitment,Advanced,find your future job according to your portfolio & preferences
101,Online Job Portal Development,CSS,Recruitment,Advanced,find your future job according to your portfolio & preferences
101,Online Job Portal Development,JavaScript,Recruitment,Advanced,find your future job according to your portfolio & preferences
101,Online Job Portal Development,PHP,Recruitment,Advanced,find your future job according to your portfolio & preferences
101,Online Job Portal Development,Python,Recruitment,Advanced,find your future job according to your portfolio & preferences
101,Online Job Portal Development,MySQL,Recruitment,Advanced,find your future job according to your portfolio & preferences
101,Online Job Portal Development,MongoDB,Recruitment,Advanced,find your future job according to your portfolio & preferences
101,Online Job Portal Development,REST API,Recruitment,Advanced,find your future job according to your portfolio & preferences
103,Restaurant Management System,HTML,Food and Beverage,Intermediate,watch over your employees &  track your restaurant reputation & reviews online
103,Restaurant Management System,CSS,Food and Beverage,Intermediate,watch over your employees &  track your restaurant reputation & reviews online
103,Restaurant Management System,JavaScript,Food and Beverage,Intermediate,watch over your employees &  track your restaurant reputation & reviews online
103,Restaurant Management System,PHP,Food and Beverage,Intermediate,watch over your employees &  track your restaurant reputation & reviews online
103,Restaurant Management System,Python,Food and Beverage,Intermediate,watch over your employees &  track your restaurant reputation & reviews online
103,Restaurant Management System,MySQL,Food and Beverage,Intermediate,watch over your employees &  track your restaurant reputation & reviews online
103,Restaurant Management System,PostgreSQL,Food and Beverage,Intermediate,watch over your employees &  track your restaurant reputation & reviews online
103,Restaurant Management System,REST API,Food and Beverage,Intermediate,watch over your employees &  track your restaurant reputation & reviews online
105,Recipe Sharing Website Development,HTML,Food and Beverage,Intermediate,share your favorite recipes with your network
105,Recipe Sharing Website Development,CSS,Food and Beverage,Intermediate,share your favorite recipes with your network
105,Recipe Sharing Website Development,JavaScript,Food and Beverage,Intermediate,share your favorite recipes with your network
105,Recipe Sharing Website Development,PHP,Food and Beverage,Intermediate,share your favorite recipes with your network
105,Recipe Sharing Website Development,Python,Food and Beverage,Intermediate,share your favorite recipes with your network
105,Recipe Sharing Website Development,MySQL,Food and Beverage,Intermediate,share your favorite recipes with your network
105,Recipe Sharing Website Development,MongoDB,Food and Beverage,Intermediate,share your favorite recipes with your network
105,Recipe Sharing Website Development,REST API,Food and Beverage,Intermediate,share your favorite recipes with your network
106,Online Art Gallery and Marketplace,HTML,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
106,Online Art Gallery and Marketplace,CSS,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
106,Online Art Gallery and Marketplace,JavaScript,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
106,Online Art Gallery and Marketplace,PHP,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
106,Online Art Gallery and Marketplace,Python,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
106,Online Art Gallery and Marketplace,MySQL,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
106,Online Art Gallery and Marketplace,MongoDB,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
106,Online Art Gallery and Marketplace,REST API,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
106,Online Art Gallery and Marketplace,Payment Gateway Integration,Art and Design,Advanced,displaying the artwork being to promote it to potential buyers
107,Online Marketplace for Handmade Goods,HTML,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
107,Online Marketplace for Handmade Goods,CSS,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
107,Online Marketplace for Handmade Goods,JavaScript,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
107,Online Marketplace for Handmade Goods,PHP,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
107,Online Marketplace for Handmade Goods,Python,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
107,Online Marketplace for Handmade Goods,MySQL,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
107,Online Marketplace for Handmade Goods,MongoDB,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
107,Online Marketplace for Handmade Goods,REST API,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
107,Online Marketplace for Handmade Goods,Payment Gateway Integration,E-commerce,Advanced,"compare between the shapes, quality & prices, then buy your favorite Handmade goods online"
110,Online Home Rental Management System,HTML,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
110,Online Home Rental Management System,CSS,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
110,Online Home Rental Management System,JavaScript,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
110,Online Home Rental Management System,PHP,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
110,Online Home Rental Management System,Python,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
110,Online Home Rental Management System,MySQL,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
110,Online Home Rental Management System,MongoDB,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
110,Online Home Rental Management System,REST API,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
110,Online Home Rental Management System,Payment Gateway Integration,Real Estate,Advanced,a service in which customers arrive to request the hiring of their homes
112,Online Ticket Booking System,HTML,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
112,Online Ticket Booking System,CSS,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
112,Online Ticket Booking System,JavaScript,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
112,Online Ticket Booking System,PHP,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
112,Online Ticket Booking System,Python,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
112,Online Ticket Booking System,MySQL,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
112,Online Ticket Booking System,PostgreSQL,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
112,Online Ticket Booking System,REST API,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
112,Online Ticket Booking System,Payment Gateway Integration,Entertainment,Advanced,"allows potential guests to self-book and pay through your website, and other channels, while giving you the best tools to run and scale your operation"
113,Personal Finance Management Web Application,HTML,Finance,Intermediate,"lets users categorize transactions and add accounts from multiple institutions into a single view, also includes data visualization"
113,Personal Finance Management Web Application,CSS,Finance,Intermediate,"lets users categorize transactions and add accounts from multiple institutions into a single view, also includes data visualization"
113,Personal Finance Management Web Application,JavaScript,Finance,Intermediate,"lets users categorize transactions and add accounts from multiple institutions into a single view, also includes data visualization"
113,Personal Finance Management Web Application,PHP,Finance,Intermediate,"lets users categorize transactions and add accounts from multiple institutions into a single view, also includes data visualization"
113,Personal Finance Management Web Application,Python,Finance,Intermediate,"lets users categorize transactions and add accounts from multiple institutions into a single view, also includes data visualization"
113,Personal Finance Management Web Application,MySQL,Finance,Intermediate,"lets users categorize transactions and add accounts from multiple institutions into a single view, also includes data visualization"
113,Personal Finance Management Web Application,MongoDB,Finance,Intermediate,"lets users categorize transactions and add accounts from multiple institutions into a single view, also includes data visualization"
113,Personal Finance Management Web Application,REST API,Finance,Intermediate,"lets users categorize transactions and add accounts from multiple institutions into a single view, also includes data visualization"
114,Online Gaming Platform Development,HTML,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
114,Online Gaming Platform Development,CSS,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
114,Online Gaming Platform Development,JavaScript,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
114,Online Gaming Platform Development,PHP,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
114,Online Gaming Platform Development,Python,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
114,Online Gaming Platform Development,MySQL,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
114,Online Gaming Platform Development,MongoDB,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
114,Online Gaming Platform Development,REST API,Gaming,Advanced,"allow users to play, stream, create, or discuss games"
115,Online Therapy Platform Development,HTML,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
115,Online Therapy Platform Development,CSS,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
115,Online Therapy Platform Development,JavaScript,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
115,Online Therapy Platform Development,PHP,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
115,Online Therapy Platform Development,Python,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
115,Online Therapy Platform Development,MySQL,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
115,Online Therapy Platform Development,PostgreSQL,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
115,Online Therapy Platform Development,Video Conferencing API,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
115,Online Therapy Platform Development,REST API,Healthcare,Advanced,"offers easy access to mental health services via phone, messaging, or video sessions"
117,Online Event Management System,HTML,Event Management,Advanced,"allows the user to select from a list of event types, then allows the user to select the date and time of event, place and the event equipment's"
117,Online Event Management System,CSS,Event Management,Advanced,"allows the user to select from a list of event types, then allows the user to select the date and time of event, place and the event equipment's"
117,Online Event Management System,JavaScript,Event Management,Advanced,"allows the user to select from a list of event types, then allows the user to select the date and time of event, place and the event equipment's"
117,Online Event Management System,PHP,Event Management,Advanced,"allows the user to select from a list of event types, then allows the user to select the date and time of event, place and the event equipment's"
117,Online Event Management System,Python,Event Management,Advanced,"allows the user to select from a list of event types, then allows the user to select the date and time of event, place and the event equipment's"
117,Online Event Management System,MySQL,Event Management,Advanced,"allows the user to select from a list of event types, then allows the user to select the date and time of event, place and the event equipment's"
117,Online Event Management System,MongoDB,Event Management,Advanced,"allows the user to select from a list of event types, then allows the user to select the date and time of event, place and the event equipment's"
117,Online Event Management System,REST API,Event Management,Advanced,"allows the user to select from a list of event types, then allows the user to select the date and time of event, place and the event equipment's"
118,Online Auction System,HTML,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
118,Online Auction System,CSS,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
118,Online Auction System,JavaScript,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
118,Online Auction System,PHP,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
118,Online Auction System,Python,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
118,Online Auction System,MySQL,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
118,Online Auction System,MongoDB,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
118,Online Auction System,REST API,E-commerce,Advanced,buy your preferred item with your suitable amount of money & get it delivered to you online
119,Online Rental Marketplace Platform Development,HTML,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
119,Online Rental Marketplace Platform Development,CSS,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
119,Online Rental Marketplace Platform Development,JavaScript,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
119,Online Rental Marketplace Platform Development,PHP,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
119,Online Rental Marketplace Platform Development,Python,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
119,Online Rental Marketplace Platform Development,MySQL,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
119,Online Rental Marketplace Platform Development,MongoDB,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
119,Online Rental Marketplace Platform Development,REST API,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
119,Online Rental Marketplace Platform Development,Payment Gateway Integration,Rental Marketplace,Advanced,where individuals or companies list vacant properties for rentals
120,Online Learning Management System,HTML,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
120,Online Learning Management System,CSS,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
120,Online Learning Management System,JavaScript,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
120,Online Learning Management System,PHP,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
120,Online Learning Management System,Python,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
120,Online Learning Management System,MySQL,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
120,Online Learning Management System,PostgreSQL,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
120,Online Learning Management System,LMS Framework,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
120,Online Learning Management System,REST API,Education,Advanced,"web-based technology used to plan, implement and assess a specific learning process"
